user_id,is_paid,registration_days,source_channel_encoded,has_invitor,is_mobile_user,has_phone,has_email,contact_methods_count,learning_sessions,learning_days,avg_sessions_per_day,total_duration,avg_session_duration,avg_score,max_score,score_std,word_accuracy,sentence_accuracy,total_practices,course_completion_rate,immersive_ratio,total_visits,active_days,visit_frequency,unique_pages,unique_events,is_multi_device,primary_device_encoded,payment_page_visits
2149398,0,12,0,0,0,0,0,0,4,1,4.0,220,55.0,28.0,100,48.062459362791664,0.0,0.0,8,0.28,0.4,103,1,103.0,33,3,0,2,0
2116633,0,-150,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,19,1,19.0,6,2,0,2,0
2214939,0,-34,0,0,0,0,1,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,9,1,9.0,4,2,0,2,0
2477086,0,-193,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2935843,0,-35,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,22,1,22.0,11,2,0,1,0
3001381,0,-77,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,4,1,4.0,3,2,0,2,0
2804778,0,9,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2083888,0,24,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,37,2,18.5,21,2,0,2,0
2313264,0,-172,0,0,1,0,0,0,2,1,2.0,0,0.0,0.0,0,0.0,0.0,0.0,4,0.0,0.4,0,0,0.0,0,0,0,0,0
2444339,0,17,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,17,2,8.5,5,3,0,1,0
2575418,0,-149,0,0,0,0,0,0,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.4,121,1,121.0,18,2,0,3,0
2346045,0,-41,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,9,1,9.0,6,2,0,2,0
2509885,0,-145,0,0,1,0,0,0,2,1,2.0,0,0.0,0.0,0,0.0,0.0,0.0,4,0.0,0.4,0,0,0.0,0,0,0,0,0
2378818,0,13,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,15,3,5.0,4,2,1,1,0
2477123,0,-151,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2411589,0,-187,0,0,1,0,0,0,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.4,0,0,0.0,0,0,0,0,0
2837574,0,1,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,15,1,15.0,7,3,0,1,0
3034183,0,12,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,16,1,16.0,11,2,0,2,0
2772043,0,-83,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,17,1,17.0,9,2,0,2,0
2477131,0,19,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,9,1,9.0,2,1,0,1,0
2444366,0,-85,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,107,1,107.0,16,2,0,2,0
2509907,0,-14,0,0,0,0,0,0,1,1,1.0,60,60.0,88.0,88,0.0,0.0,0.0,2,0.88,0.4,97,2,48.5,11,2,0,2,0
3001428,0,-135,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,45,2,22.5,13,2,1,1,0
2444371,0,-129,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,4,1,4.0,3,1,0,1,0
2870359,0,-44,0,0,0,0,0,0,1,1,1.0,50,50.0,0.0,0,0.0,0.0,0.0,2,0.0,0.4,12,1,12.0,7,2,0,2,0
2935896,0,-54,0,0,0,1,0,1,1,1,1.0,431,431.0,32.0,32,0.0,0.0,0.0,2,0.32,0.8,19,1,19.0,8,2,0,2,0
3001433,0,12,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,9,1,9.0,4,1,0,1,0
2804831,0,-21,0,0,0,0,0,0,1,1,1.0,60,60.0,95.0,95,0.0,0.0,0.0,2,0.95,0.4,278,2,139.0,12,3,0,2,0
2051172,0,-129,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,17,1,17.0,6,2,0,1,0
3099750,1,-37,0,0,0,0,0,0,3,1,3.0,144,48.0,96.0,100,6.928203230275509,0.0,0.0,6,0.96,0.4,9565,6,1594.1666666666667,158,2,0,2,0
2346090,0,-48,0,0,0,0,0,0,11,4,2.75,2284,207.63636363636363,11.272727272727273,16,2.4531982835029496,0.0,0.0,22,0.11272727272727273,0.8,289,5,57.8,19,2,0,2,0
2739324,0,-158,0,0,1,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2804866,0,-177,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2903173,0,-164,0,0,1,0,0,0,1,1,1.0,205,205.0,0.0,0,0.0,0.0,0.0,2,0.0,0.8,0,0,0.0,0,0,0,0,0
2772102,0,-189,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2641033,0,-41,0,0,0,0,0,0,1,1,1.0,35,35.0,0.0,0,0.0,0.0,0.0,2,0.0,0.4,243,1,243.0,10,2,0,2,0
2051210,0,16,0,0,0,0,0,0,2,1,2.0,114,57.0,33.0,64,43.840620433565945,0.0,0.0,4,0.33,0.4,71,1,71.0,16,3,0,2,0
2509961,0,-183,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2935946,0,-11,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,98,1,98.0,25,2,0,2,0
2378893,0,-44,0,0,0,1,0,1,4,3,1.3333333333333333,1019,254.75,100.0,100,0.0,0.0,0.0,8,1.0,0.8,115,5,23.0,23,2,0,2,0
2182285,0,-170,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
3099791,0,-116,0,0,0,1,0,1,1,1,1.0,60,60.0,100.0,100,0.0,0.0,0.0,2,1.0,0.4,19,1,19.0,6,2,0,2,0
3132562,0,-23,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,103,1,103.0,13,2,0,2,0
2706578,1,-75,0,0,0,0,0,0,18,14,1.2857142857142858,20938,1163.2222222222222,65.38888888888889,100,34.94725250311303,0.0,0.0,36,0.6538888888888889,0.8,475,15,31.666666666666668,77,2,0,2,0
2083991,0,-81,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,72,1,72.0,11,2,0,2,0
3099802,0,5,0,0,0,0,1,1,78,16,4.875,31377,402.2692307692308,93.21794871794872,107,22.354085268807765,0.0,0.0,156,0.9321794871794872,0.8,813,17,47.8235294117647,118,2,0,2,0
